reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,company
c8a1b5cc-ffe8-4fce-85e8-44aa88f1ce40,Echo Explosion,https://play-lh.googleusercontent.com/a-/ALV-UjVGIvIfRcDsfMJ44_u9qaa4O919zf21FV7dHrW_J93cmMyF7Z0,cool,5,0,4.574.10000,2025-04-28 13:59:20,,,4.574.10000,uber
acffc904-8e05-4a7d-a9a9-0893203cf129,Reegan srinivasan,https://play-lh.googleusercontent.com/a-/ALV-UjW8LhgIhlbyiMLP8E6gJIzIOKJniXN5OBd2qIhuUeuxEU9wELqh,nice app for travel,5,0,4.575.10001,2025-04-28 13:58:37,,,4.575.10001,uber
e91c4c59-1df5-4dd1-b94c-4030f66e486e,Madise Aaron,https://play-lh.googleusercontent.com/a-/ALV-UjVrae3dgrILdJHi4BYmiXtjVykhNSZ5wsfvqDNBZwZh2CN2-RA,always safe n clean just need to make more drivers available because it's not easy getting a ride with urber the drivers keep canceling,2,0,4.575.10001,2025-04-28 13:58:17,,,4.575.10001,uber
7740c3d0-0d9e-4cb3-a847-f72302d1e850,sameer ahmed khan,https://play-lh.googleusercontent.com/a/ACg8ocKnnJhhWPntXY-1spo2qHmsOiGdZUZU6T8Jfa_AJZCKp92hfQ=mo,Good guy,4,0,4.567.10003,2025-04-28 13:57:28,,,4.567.10003,uber
a5faa2c9-fb2f-4f3a-9dc4-7df70b0de931,Ujjwal Kumar,https://play-lh.googleusercontent.com/a-/ALV-UjXL8-beHmL-JGRozH6FBJKFXlRpnnaYCqonFIkrepUA4lfP2KD2,just amazing,5,0,4.575.10001,2025-04-28 13:56:18,,,4.575.10001,uber
8c7d009f-ca4f-4e0e-a7cf-88df2a6ce4e1,Soni Patel,https://play-lh.googleusercontent.com/a/ACg8ocJlWhRBoyhi8vjVBbAbZ5o6qqsriG2Hy96PVdT4P_7aSjbhxw=mo,driver is good the way of driving it's also his doing driving very safe,5,0,4.575.10001,2025-04-28 13:56:06,,,4.575.10001,uber
e624aff9-5d16-44bc-bd88-ad496c520273,Utkarsh Singh,https://play-lh.googleusercontent.com/a-/ALV-UjXXGLZYfFOC16Sz1ImZSwFE5apKZtAvggPlgLRjDhAQwXLbGqY,nice Kk,5,0,4.573.10001,2025-04-28 13:54:24,,,4.573.10001,uber
5a259e56-42c6-48cc-8de0-daf9629b0bd3,not_nathan 99,https://play-lh.googleusercontent.com/a/ACg8ocJq_hJy6CHLkLFVgtIUF_TSRQgwZKSsnsbSPU11SShUJbogOQ=mo,rip off,1,0,4.575.10001,2025-04-28 13:54:05,,,4.575.10001,uber
c523c0da-35f7-4468-9001-c8fd3b88b3a7,Santosh Kumari,https://play-lh.googleusercontent.com/a/ACg8ocKLmSnrHqq6yDKdv_KQ5bUP57b-OIXV2RRoGOsH05kSbw23wQ=mo,Great platform but some drivers are not so good,5,0,4.573.10001,2025-04-28 13:51:40,,,4.573.10001,uber
df292d4e-9131-482b-a7a8-e90e177f085f,Shirley H,https://play-lh.googleusercontent.com/a/ACg8ocLCiFWCZHrakuOCYJKccQDK9YnFJLZxh58xiCVOWUYhGaay2w=mo,Tried Uber for the first time today really impressed so easy to get a car to where I want to go.,5,0,4.575.10001,2025-04-28 13:49:17,,,4.575.10001,uber
3a7918cd-02f9-4a0e-be5b-39f7c8b65249,Stephen Campbell,https://play-lh.googleusercontent.com/a-/ALV-UjW7CbNx7GjXoyUPxWUP1fTxrW15LRg9IC0b9BDUaUpt2BIr5CZuxw,love it,5,0,4.575.10001,2025-04-28 13:43:14,,,4.575.10001,uber
0c8116de-0b67-4999-917f-7f58471f472f,Rayhan Chowdhury,https://play-lh.googleusercontent.com/a-/ALV-UjWZi3AUQq_42rRrbmIi0GXvQMBiJtV2s_pLs0VxYl5tWcI2aL9s,good enough,5,0,4.575.10001,2025-04-28 13:41:54,,,4.575.10001,uber
492b82c9-f739-43d6-aef4-4c883bdccf88,Ruwani Fernando,https://play-lh.googleusercontent.com/a/ACg8ocKJHSp7xKtfHTPjgoUr99imxwFZ0Znlxm7N1LKe5eiVEnPgcw=mo,great I love it so far,5,0,4.575.10001,2025-04-28 13:41:21,,,4.575.10001,uber
9ed7a67c-9c2d-4603-83ea-0804ad55f57d,Neha Naina,https://play-lh.googleusercontent.com/a/ACg8ocIKx0e3mMQaj5XDTGSb6qrAc8UwtP8PNDLbVhP895fH8-k5hg=mo,nice & very safe,5,0,,2025-04-28 13:39:49,,,,uber
96272aa9-c6cd-47a3-901b-49eae44c941e,Bryan Evans,https://play-lh.googleusercontent.com/a-/ALV-UjUvTEXQtwcGn8sHlmkMsbflSNzaOVOM6DETOuYTWi7Zt1DQQfRy,"Transformative. Our local taxis leave a lot to be desired. UBER is great. Prompt, punctual, what more can one ask.",5,0,4.575.10001,2025-04-28 13:37:53,,,4.575.10001,uber
031b540b-1654-48cf-a4fd-99e3967d7f9d,Pragat Patel,https://play-lh.googleusercontent.com/a-/ALV-UjXm-Ai1NUDr4-ft7rfYsXisSwp_xmU9Y9OAJeNJPXR-qWhQJI4,"no doubt it is helping at many times but at places at vavol, less populated areas, it takes hours to get an uber automobile I wish there should be uber at all places so this wait and waste of time should be saved .",3,0,,2025-04-28 13:28:00,,,,uber
a9c3a212-ae25-45c0-b1ac-ec24949051bd,Shubham YT,https://play-lh.googleusercontent.com/a/ACg8ocJFZH7qx-XBYmi4t4IvuQHBFDKGimRDmd9Cvz2-kr-B-M4AhA=mo,very nice,5,0,,2025-04-28 13:23:32,,,,uber
799dadca-774c-4edd-82ec-3ad01c3ba539,SUR JIT,https://play-lh.googleusercontent.com/a-/ALV-UjWJFz9lVJREnjLCCGYLR6gbpkMzedzjEYgQHEycdYSrA1fbaLrlgA,excellent,5,0,4.575.10001,2025-04-28 13:21:09,,,4.575.10001,uber
2b62d8f5-daa9-4ebf-993f-32d14faa32ee,Jansi Mary,https://play-lh.googleusercontent.com/a-/ALV-UjX_NcWWiaCAjK5xMyR-V-IjQgeY0URCuvmBSoP6v3zS0v-ew2L3,price extra,1,0,4.575.10001,2025-04-28 13:20:39,,,4.575.10001,uber
1165d875-b773-4655-af33-10b9c0fa48ea,Sanchita Saharoy,https://play-lh.googleusercontent.com/a-/ALV-UjXPkIrc6GbnVgAoG0lrLGdPXZ2ulw4kEVvt79Zr-96OjcssiMF9,good,5,0,4.524.10000,2025-04-28 13:20:14,,,4.524.10000,uber
2eb893b6-d2a8-4ee0-963a-1432b25774d8,Shahidul Islam,https://play-lh.googleusercontent.com/a-/ALV-UjWbPYw7p6HwPEPPIskwhgH640dTGChzdpU6UNJnZ2D5ZiMmOJ9gLQ,nice experience,5,0,4.575.10001,2025-04-28 13:14:25,,,4.575.10001,uber
b885791f-9de9-4756-ae16-0c7360df70bb,ضياء صباح,https://play-lh.googleusercontent.com/a/ACg8ocIJAUt-h8Z7PID-mffmnqxx9N62qOR6cKqcJLzep_ExfDPU4w=mo,good,5,0,4.575.10001,2025-04-28 13:13:59,,,4.575.10001,uber
68f60662-e517-43e7-a700-95c14ae557ad,Anup Kumar Bansal,https://play-lh.googleusercontent.com/a/ACg8ocLUtLkxsUUQp2D00hz0swmyaVCs5Enlp_R_1mYZJNWvxOaNZw=mo,last six month cab Auto only searching no booking your app customer Ko Kisi dusre app ka Sahara Lena padta hai /rapido ola only 2/3 minute Auto/Cab provide me / Maine 8 /5/ 2025 advance cab book kare hai Kya Main is booking ko confirm samjhau ki cab aaegi please provide me customer care number,1,0,4.575.10001,2025-04-28 13:11:04,,,4.575.10001,uber
99e8460f-b5c8-4e26-9286-c1f0db025607,Muisyo Kivuva,https://play-lh.googleusercontent.com/a/ACg8ocJJE3Zwd0p458xJWtuXnFX2GDV_7lYJOd0y0Vojp-_TVkC2cQ=mo,good 👍,5,0,10.5.1,2025-04-28 12:47:25,"Greetings, thank you for your feedback and the 5-star rating. We appreciate your support.^fk",2025-04-28 16:04:19,10.5.1,little
f13d946c-1ad3-4f3a-bce9-b35de6f51488,moraa rose,https://play-lh.googleusercontent.com/a/ACg8ocLeAiV7MX3LEmsiqnFFucldJRsfsKKhfmAAIc1fRbcy-RvKTw=mo,well driven thank you,5,0,10.8.7.5,2025-04-27 11:48:03,"Greetings, thank you for your feedback and the 5-star rating. We appreciate your support.^fk",2025-04-28 16:04:13,10.8.7.5,little
9539df70-91e3-4c24-8f40-65668cab6a9b,Logistics Little pay,https://play-lh.googleusercontent.com/a/ACg8ocIxxpeWkW4G124uPnpwnCQcLqMBgVcRa-xv6CYxa9RlxWs5Hw=mo,Great App,5,0,10.8.7.5,2025-04-26 18:16:34,"Greetings, thank you for your feedback and the 5-star rating. We appreciate your support.^fk",2025-04-28 16:04:01,10.8.7.5,little
